name,color,category,breadcrumbs,description
Racer TR21 Shoes,Burgundy,Shoes,Men/Shoes,"Bring the comfort and athletic style of running footwear to your everyday look in these adidas shoes. Step through your day confidently with a snug fit and a lightweight midsole that cushions your feet with every step.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of the upper is recycled content. No virgin polyester."
Postmove Shoes,Black,Shoes,Men/Shoes,"Take inspiration from the original adidas Forum. Lace up these basketball shoes for a throwback look you can rock all over town. Enjoy pillowy-soft midsole cushioning as soon as you slip your feet in.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Bryony Shoes,White,Shoes,Women/Shoes,"Breathe life into your sneaker rotation with Bryony. The low-top model has three-stripe branding on the upper as well as tongue detailing and a groovy sockliner inspired by 70s artwork. Exclusively available through adidas.

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content."
ZX 1K Shoes,White,Shoes,Kids/Shoes,"There's no slowing kids down. They grow more, eat more, do more and know more seemingly every day. Keeping up with them can be tough, but these adidas ZX 1K Shoes are up for the job. They've got a long history of running on their side, which means they're all about fast moves and comfort. Lace kids into them and just watch as they step into their own.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Postmove Shoes,White,Shoes,Men/Shoes,"Take inspiration from the original adidas Forum. Lace up these basketball shoes for a throwback look you can rock all over town. Enjoy pillowy-soft midsole cushioning as soon as you slip your feet in.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
ZX 2K Shoes,Green,Shoes,Kids/Shoes,"Every minute of every day is an opportunity for little ones to adventure. (Unless it's that rare moment of quiet called nap time, of course.) Lace kids into these adidas shoes and let them explore all the corners of whatever the day's spaceship, submarine or fort is. Lightweight cushioning is down for all-day play."
HULK STAN SMITH SHOES,Black,Shoes,Kids/Shoes,"Superheroes come in all sizes, shapes and colours. Some happen to be big, green and great at smashing things. Help your kids channel the attitude of Marvel's Hulk in these adidas shoes. Okay, maybe you don't want them to go around smashing stuff, but there's no harm in feeling big and strong as they tackle school days and outings with their friends. 

This product is made with Primegreen, a series of high-performance recycled materials. 50% of upper is recycled content. No virgin polyester."
Linear Superlite Super-No-Show Socks 6 Pairs,Beige,Accessories,Men/Accessories,"Stretchy and low cut, these adidas socks stay in place and out of sight while you work out. Moisture-wicking yarn absorbs sweat as you turn up the intensity. Thought you were barefoot? Your feet know the difference."
Ownthegame Shoes,Red,Shoes,Men/Shoes,"Take control when you step onto the court in these adidas basketball shoes. The mesh upper keeps your feet feeling fresh as you run baseline to baseline. Lightweight Lightmotion cushioning underfoot absorbs impact with every step. 

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Designed to Move High-Rise Sport Zebra Capri Tights,Blue,Clothing,Women/Clothing,"No more excuses. These adidas training tights have mesh side panels to help you stay cool at the peak of your pyramid workout. A high-rise waist has you covered when you bend and stretch. AEROREADY absorbs moisture to help you stay dry as your workout heats up. And the back pocket keeps your gym pass securely stored. 

This product is made with Primegreen, a series of high-performance recycled materials."
Hamburg Shoes,Pink,Shoes,Kids/Shoes,"Back in '82, the adidas Hamburg set the standard for training shoes. Today, the timeless look does the same for everyday comfort. The versatile design of this juniors' version stays true to the original with a low-profile, serrated 3-Stripes and a premium leather upper. Contrast colors make sure they stand out.

This product is made with recycled content as part of our ambition to end plastic waste. 20% of pieces used to make the upper are made with minimum 50% recycled content."
Creator Backpack,Multicolor,Accessories,Training/Accessories,"Did someone say after-school pickup game? Be prepared for last-minute activity with this adidas backpack. A roomy main compartment and multiple zip pockets help keep school, work or workout gear organized. When it's game time, stash your sunglasses in the top zip pocket. 

This product is made with recycled content as part of our ambition to end plastic waste."
adidas x Zoe Saldana Feelbrilliant AEROREADY 7/8 Printed Sport Tights (Plus Size),Blue,Clothing,Women/Clothing,"Stepped-up style for an amped-up workout. Pull on these training tights and get ready to push yourself further. AEROREADY wicks away moisture so you can stay dry and focused. The tight fit and high-rise waist offer lots of support as you move, and the seven-eighth length hits just right.

This product is made with recycled content as part of our ambition to end plastic waste."
Superlite UB21 Tabbed No-Show Socks 2 Pairs,Grey,Accessories,Men/Accessories,Focus on racking up the miles in these no-show socks. Reduce distractions while you run and train with a special heel tab designed to keep your foot from slipping in your shoes. Stay dry and comfortable when you turn up the heat thanks to moisture-wicking yarn and a mesh top. Includes two pairs of socks.
Blue Version Luxe Backpack,Black,Accessories,Originals/Accessories,"Minimalist means it goes with anything. Yoga clothes. Work clothes. Weekend adventures. What it doesn't mean? Basic. Load up this adidas backpack and flaunt your timeless sense of style wherever you wander. A bottom zip compartment lets you take along another pair of shoes. You know, in case you want to throw in a quick run at lunchtime. 

Made with vegan alternatives to animal-derived ingredients or materials. This product is made with recycled content as part of our ambition to end plastic waste."
AEROREADY Designed to Move Sport Motion Logo Hoodie,Black,Clothing,Men/Clothing,"For the person who's always on the move, this training hoodie matches your busy lifestyle step for step. From a morning run to a chilly shootaround in the park, stay layered up and warm while moving freely and comfortably. The adidas Badge of Sport completes the sports-inspired, daily-wear look."
